	bimsync Viewer API	Import Export	https://bimsync.com/developers/reference/viewer/1.0
ECCO Toolkit		http://www.pdtec.de/pdtec2/products/ecco_toolkit.aspx
IFCsvr ActiveX Component		http://tech.groups.yahoo.com/group/ifcsvr-users/
simplebim.Developer		http://www.datacubist.com/see-it/developer.html
IFC Engine DLL		http://www.ifcbrowser.com/ifcenginedll.html
ifc-dotnet		http://code.google.com/p/ifc-dotnet/
IFC SDK		https://joinup.ec.europa.eu/software/ifc-sdk/description
HOOPS Exchange	Import	http://www.techsoft3d.com/our-products/hoops-exchange
ST-Developer		http://www.steptools.com/products/stdev/
IfcOpenShell	Import	http://ifcopenshell.org/
IFC Toolbox		http://www.eurostep.com/global/solutions/--development-tools/eurostep-ifc-toolbox-products.aspx
IfcGears	Import Export	http://www.ifcgears.com/
BSPro		http://www.granlund.fi/en/services/granlund-software-applications/bspro/
Open IFC Tools	Import Export	http://www.openifctools.com/Open_IFC_Tools/Home.html
bimsync REST API	Import Export	https://bimsync.com/developers/reference/api/1.0
xBIM Toolkit	Import Export	https://github.com/xBimTeam
